Mon Jul 25 11:58:35 2022    output.dat

         18432856 function calls (18081567 primitive calls) in 55.223 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13510    0.005    0.000    0.028    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2057(transform)
    13495    0.007    0.000    0.034    0.000 {method 'max' of 'numpy.ndarray' objects}
13454/6826    0.023    0.000    4.079    0.001 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:583(_unstale_viewLim)
13452/6824    0.006    0.000    4.082    0.001 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:597(viewLim)
    13386    0.008    0.000    0.008    0.000 {built-in method numpy.seterrobj}
    13386    0.021    0.000    0.052    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:32(seterr)
    13386    0.018    0.000    0.019    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_ufunc_config.py:132(geterr)
    13369    0.009    0.000    0.043    0.000 {method 'min' of 'numpy.ndarray' objects}
    13326    0.002    0.000    0.002    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axis.py:649(locator)
    13307    0.012    0.000    0.014    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/getlimits.py:366(__new__)
    13306    0.076    0.000    0.097    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2779(nonsingular)
    13304    0.009    0.000    0.009    0.000 {built-in method builtins.min}
    13285    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
    13272    0.024    0.000    0.043    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:3214(__getitem__)
    13270    0.006    0.000    0.026    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:1818(_check_mask_axis)
    13268    0.025    0.000    0.078    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:3087(_validate_converted_limits)
    13268    0.010    0.000    0.010    0.000 {method 'copy' of 'numpy.generic' objects}
    13264    0.005    0.000    0.005    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axis.py:822(get_scale)
    13264    0.006    0.000    0.008    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axis.py:1412(get_major_locator)
    13264    0.002    0.000    0.002    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/scale.py:79(limit_range_for_scale)
    13264    0.008    0.000    0.105    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/ticker.py:1681(nonsingular)
    13260    0.004    0.000    0.005    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:2432(tol)
    13106    0.004    0.000    0.005    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:336(pchanged)
    12088    0.008    0.000    0.008    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    12079    0.006    0.000    0.039    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:168(convert_xunits)
    12077    0.006    0.000    0.028    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:180(convert_yunits)
    11993    0.009    0.000    0.039    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:126(invalidate)
    11811    0.005    0.000    0.041    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1247(__add__)
11762/11761    0.003    0.000    0.013    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2564(get_matrix)
    11634    0.004    0.000    0.004    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:3422(shape)
    11612    0.005    0.000    0.028    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:206(_recursive_fill_value)
    11612    0.006    0.000    0.014    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:221(_get_dtype_of)
11599/6628    0.006    0.000    0.030    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:2342(_iter_break_from_left_to_right)
    10587    0.007    0.000    0.007    0.000 {method 'match' of 're.Pattern' objects}
    10545    0.006    0.000    0.022    0.000 /usr/lib/python3.8/re.py:188(match)
    10545    0.006    0.000    0.009    0.000 /usr/lib/python3.8/re.py:289(_compile)
    10312    0.002    0.000    0.002    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:2111(<genexpr>)
    10273    0.001    0.000    0.001    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1740(get_affine)
    10202    0.009    0.000    0.021    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/numerictypes.py:360(issubdtype)
    10180    0.003    0.000    0.052    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_methods.py:37(_amax)
    10172    0.006    0.000    0.023    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/colors.py:123(_is_nth_color)
    10172    0.025    0.000    0.156    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/colors.py:157(to_rgba)
    10171    0.075    0.000    0.075    0.000 {built-in method builtins.sorted}
    10054    0.003    0.000    0.060    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_methods.py:41(_amin)
     9960    0.001    0.000    0.001    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:119(<genexpr>)
     9960    0.006    0.000    0.021    0.000 <__array_function__ internals>:2(min_scalar_type)
     9960    0.001    0.000    0.001    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/multiarray.py:583(min_scalar_type)
     9956    0.013    0.000    0.143    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:6549(array)
     9955    0.010    0.000    0.012    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:185(process)
     9954    0.002    0.000    0.002    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:2470(_get_axis_list)
     9954    0.029    0.000    0.235    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/colors.py:966(process_value)
     9954    0.005    0.000    0.020    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:288(_scalar_fill_value)
     9954    0.008    0.000    0.045    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:286(_extremum_fill_value)
     9954    0.005    0.000    0.007    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/numerictypes.py:232(obj2sctype)
     9954    0.006    0.000    0.015    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/numerictypes.py:405(__getitem__)
     9950    0.009    0.000    0.116    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axis.py:1504(update_units)
     9949    0.038    0.000    0.229    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/colors.py:282(to_rgba_array)
     9948    0.002    0.000    0.003    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:166(<genexpr>)
     9942    0.002    0.000    0.004    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:1271(_iter_break_from_left_to_right)
     9140    0.001    0.000    0.001    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/artist.py:800(get_visible)
     9049    0.010    0.000    0.011    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/cbook/__init__.py:2131(_check_in_list)
