Mon Jul 25 11:58:35 2022    output.dat

         18432856 function calls (18081567 primitive calls) in 55.223 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.009    0.004    0.268    0.134 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:4270(get_tightbbox)
    16403    0.009    0.000    1.050    0.000 <__array_function__ internals>:2(histogram)
        2    0.009    0.004    0.009    0.004 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:3434(__setmask__)
     9950    0.009    0.000    0.116    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axis.py:1504(update_units)
    10202    0.009    0.000    0.021    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/numerictypes.py:360(issubdtype)
    25708    0.008    0.000    0.008    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:1284(_replace_dtype_fields_recursive)
    16671    0.008    0.000    0.011    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:385(intervaly)
     3316    0.008    0.000    0.008    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/contour.py:1085(<listcomp>)
    16407    0.008    0.000    0.008    0.000 {built-in method math.ceil}
     8296    0.008    0.000    0.023    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:434(_check_fill_value)
        2    0.008    0.004    0.098    0.049 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/image.py:316(_make_image)
    12088    0.008    0.000    0.008    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    13386    0.008    0.000    0.008    0.000 {built-in method numpy.seterrobj}
     1659    0.008    0.000   10.992    0.007 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/__init__.py:1562(inner)
     8291    0.008    0.000    0.012    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:672(getdata)
     3317    0.008    0.000    0.019    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/transforms.py:909(intervalx)
    13264    0.008    0.000    0.105    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/ticker.py:1681(nonsingular)
    16423    0.008    0.000    0.145    0.000 <__array_function__ internals>:2(vstack)
    16427    0.008    0.000    0.099    0.000 <__array_function__ internals>:2(diff)
    28205    0.008    0.000    0.072    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/core/_methods.py:56(_all)
     3410    0.008    0.000    0.008    0.000 {method 'fill' of 'numpy.ndarray' objects}
     3316    0.008    0.000    0.072    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:4856(any)
     8292    0.008    0.000    0.141    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:2045(_process_unit_info)
    18808    0.008    0.000    0.032    0.000 <__array_function__ internals>:2(dot)
     9954    0.008    0.000    0.045    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/numpy/ma/core.py:286(_extremum_fill_value)
        3    0.008    0.003    0.008    0.003 {pandas._libs.algos.take_2d_axis0_float32_float32}
3315/1658    0.008    0.000    4.149    0.003 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/axes/_base.py:3024(set_xbound)
    13970    0.008    0.000    0.015    0.000 /home/luisfigueiredo/.local/lib/python3.8/site-packages/matplotlib/figure.py:45(_stale_figure_callback)
